t_showkey,t_showtitle,t_genre,t_cast,t_releasetime,t_language,t_description,t_seasonkey,t_countrykey
70283264,The 100,"Sci-Fi, Supernatural","Eliza Taylor, Paige Turco, Bob Morley",2014,English,"A century after Earth was devastated by a nuclear apocalypse, 100 space station residents are sent to the planet to determine whether it's habitable.",7,1
80175722,The End of the F***ing World,Comedy,"Jessica Barden, Alex Lawther, Naomi Ackie",2017,English,A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel.,2,1
80063867,The Family,Documentary,"James Cromwell, David Rysdahl, Ben Rosenfield",2019,English,"An enigmatic conservative Christian group known as the Family wields enormous influence in Washington, D.C., in pursuit of its global ambitions.",1,1
80113701,The Good Place,Comedy,"Kristen Bell, Ted Danson, William Jackson Harper",2016,English,"Due to an error, self-absorbed Eleanor Shellstrop arrives at the Good Place after her death. Determined to stay, she tries to become a better person.",4,1
80188730,The K2,"Action, Romance","Ji Chang-wook, Song Yoon-a, Im Yoona",2016,Korean,A fugitive soldier gets swept up in personal and political intrigue when he's hired as a bodyguard for the family of a presidential candidate.,1,2
80031790,The Moon Embracing the Sun,"Fantasy, Romance, Historical","Han Ga-in, Kim Soo-hyun, Jung Il-woo",2012,Korean,"Years after she's assumed dead by the palace, a young noblewoman, now trained as a shaman, returns to court to reclaim her rightful position as queen.",1,2
70136120,The Office,Comedy,"Steve Carell, John Krasinski, Jenna Fischer",2005,English,This hit comedy chronicles the foibles of disgruntled office workers -- led by deluded boss Michael Scott -- at the Dunder Mifflin paper company.,9,1
80154610,The Rain,Thriller,"Alba August, Lucas Lynggaard Tonnesen",2020,English,"Six years after a rain-borne virus wipes out most of Scandinavia's population, two siblings join a band of young survivors seeking safety and answers",3,1
80189685,The Witcher,"Sci-Fi, Supernatural","Henry Cavill, Anya Chalotra, Freya Allan",2019,English,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",1,1
81205775,Touch Your Heart ,"Romance, Comedy","Yoo In-na, Lee Dong-wook",2019,Korean,"Hoping to make a comeback after a bad scandal, an actress agrees to research a new role by taking a job as a secretary for a prickly attorney.",1,2
80186863,Umbrella Academy,"Sci-Fi, Supernatural","Ellen Page, Tom Hopper, David Castañeda",2019,English,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets -- and a looming threat to humanity.",2,1
80208910,Unnatural Selection,Documentary,,2019,English,"From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.",1,1
70172485,Victorious,Comedy,"Victoria Justice, Leon Thomas III, Matt Bennett",2010,English,"When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens.",3,1
81042230,W: Two Worlds Apart,"Fantasy, Romance","Lee Jong-suk, Han Hyo-joo, Kim Eui-sung",2016,Korean,"After being pulled into the webtoon world created by her father, a surgical resident gets entangled in a murder mystery involving the story's hero.",1,2
80188662,Weightlifting Fairy Kim Bok Joo,"Romance, Youth, Comedy","Lee Sung-kyung, Nam Joo-hyuk",2016,Korean,"A competitive swimmer crosses paths with his childhood friend, a rising weight lifting star, and realizes that she has a secret crush on his cousin.",1,2
81029926,Welcome to Waikiki,Comedy,"Kim Jung-hyun, Lee Yi-kyung, Son Seung-won",2018,Korean,"To finance their own film project, an aspiring director, actor and screenwriter run a Seoul guesthouse that brings antics and romance into their lives.",1,2
81229694,Welcome to Waikiki 2,Comedy,"Lee Yi-kyung, Kim Seon-ho, Shin Hyun-soo",2019,Korean,"Actor Lee Jun-ki ropes two longtime friends into investing in the Seoul guesthouse he runs on the side, where their old crush from school comes to stay.",1,2
81225148,While You Were Sleeping,Romance,"Lee Jong-suk, Bae Suzy, Lee Sang-yeob",2017,Korean,"Burdened with visions of the future in their dreams, a young woman and two men try to prevent horrible events before they actually happen.",1,2
80998966,Yong Pal,"Romance, Medical","Joo Won, Kim Tae-hee, Jo Hyun-jae",2015,Korean,"Operating under the alias Yong-pal, a surgeon gets enmeshed in a dark conspiracy involving a heiress forcibly put in a medically induced coma.",1,2
80095532,One Day At A Time,Family,"Justina Machado, Rita Moreno, Todd Grinnell",2017,English,"In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom.",3,1
80189221,The Haunting of Hill House,Horror,"Michiel Huisman, Carla Gugino, Timothy Hutton",2018,English,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",1,1
80175802,The Sinner,Horror,"Jessica Biel, Bill Pullman, Carrie Coon",2017,English,"In a small New York town, a haunted detective hunts for answers about perplexing crimes while wrestling with his own demons.",1,1
80111683,Someone Like You,Romance,"Kingone Wang, Lorene Ren, Sean Lee",2015,Mandarin,"After losing his sight and his fiancee in an accident, a man hires a caregiver who mysteriously sounds -- and looks -- just like his late girlfriend.",1,3
80996601,Love is Blind,Romance,"Nick Lachey, Vanessa Lachey",2020,English,"Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged, all before meeting in person.",1,1
